latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp
-9.857,-36.22,308.9,2.4,1.5,2015-11-29, 00:30,T,63,5.0       ,294,42.3
-7.548,-35.091,306.8,1.8,1.3,2015-11-29, 00:30,T,48,5.0       ,293.5,24.7
-7.525,-35.011,316.5,1.8,1.3,2015-11-29, 00:30,T,91,5.0       ,293.8,46.6
-4.83,-37.397,327.5,2.5,1.5,2015-11-29, 00:30,T,100,5.0       ,295.3,122.5
-4.833,-37.42,306.2,2.5,1.5,2015-11-29, 00:30,T,43,5.0       ,295,31
-3.746,-54.732,308.2,1,1,2015-11-29, 02:10,T,59,5.0       ,293.1,9.1
-3.751,-54.768,312.9,1,1,2015-11-29, 02:10,T,80,5.0       ,293.1,14.2
-3.735,-54.725,315.3,1,1,2015-11-29, 02:10,T,88,5.0       ,293.1,16.1
-3.55,-53.682,306.1,1.1,1,2015-11-29, 02:10,T,41,5.0       ,293.4,8.9
-3.574,-53.853,312.2,1.1,1,2015-11-29, 02:10,T,65,5.0       ,275.8,17.9
-2.867,-49.026,306.7,2.2,1.4,2015-11-29, 02:10,T,48,5.0       ,285.3,45.4
-3.565,-53.855,309.2,1.1,1,2015-11-29, 02:10,T,60,5.0       ,277.4,15.7
-3.216,-51.575,308.3,1.4,1.2,2015-11-29, 02:10,T,32,5.0       ,289.4,17.9
-3.513,-53.687,307,1.1,1,2015-11-29, 02:10,T,36,5.0       ,289.9,9.7
-2.563,-47.37,310.7,3,1.7,2015-11-29, 02:10,T,72,5.0       ,271.5,76.2
-3.55,-54.01,315.2,1,1,2015-11-29, 02:10,T,73,5.0       ,289.3,17.8
-2.639,-47.962,305.9,2.7,1.6,2015-11-29, 02:10,T,36,5.0       ,290.6,30.7
-3.243,-51.971,314.8,1.3,1.1,2015-11-29, 02:10,T,86,5.0       ,294.9,24.3
-3.496,-53.699,309.3,1.1,1,2015-11-29, 02:10,T,49,5.0       ,286.6,12.4
-3.539,-54.002,307.3,1,1,2015-11-29, 02:10,T,19,5.0       ,289.3,8.9
-2.36,-46.362,306.9,3.7,1.8,2015-11-29, 02:10,T,50,5.0       ,291.1,54.6
-3.416,-53.282,313.5,1.1,1.1,2015-11-29, 02:10,T,82,5.0       ,294.7,17.1
-3.417,-53.292,322.4,1.1,1.1,2015-11-29, 02:10,T,100,5.0       ,296,29.4
-3.478,-53.712,306.4,1.1,1,2015-11-29, 02:10,T,45,5.0       ,285.5,10.5
-3.522,-54.072,312.1,1,1,2015-11-29, 02:10,T,5,5.0       ,291.2,11.3
-3.567,-54.385,312.1,1,1,2015-11-29, 02:10,T,77,5.0       ,294.1,13
-3.568,-54.394,305.3,1,1,2015-11-29, 02:10,T,27,5.0       ,293.9,6.6
-2.517,-47.157,307,3.2,1.7,2015-11-29, 02:10,T,44,5.0       ,278.7,70.3
-3.505,-54.013,362.7,1,1,2015-11-29, 02:10,T,100,5.0       ,292.8,111.3
-3.506,-54.023,361.2,1,1,2015-11-29, 02:10,T,100,5.0       ,293.4,107.1
-3.517,-54.098,306,1,1,2015-11-29, 02:10,T,15,5.0       ,290.6,7.4
-3.485,-53.94,317.3,1.1,1,2015-11-29, 02:10,T,93,5.0       ,278.2,23.6
-3.487,-53.949,320.1,1.1,1,2015-11-29, 02:10,T,100,5.0       ,280.6,26.4
-3.491,-53.977,317.6,1.1,1,2015-11-29, 02:10,T,94,5.0       ,286.2,20.9
-3.497,-54.024,306.3,1,1,2015-11-29, 02:10,T,41,5.0       ,290.1,8.9
-2.368,-46.368,308,3.7,1.8,2015-11-29, 02:10,T,58,5.0       ,291,64.9
-3.481,-53.979,332.6,1.1,1,2015-11-29, 02:10,T,100,5.0       ,287.2,42
-3.483,-53.988,316.8,1.1,1,2015-11-29, 02:10,T,92,5.0       ,288.1,19.1
-3.316,-53.034,306.4,1.2,1.1,2015-11-29, 02:10,T,45,5.0       ,291.9,11.9
-3.442,-53.898,311.9,1.1,1,2015-11-29, 02:10,T,77,5.0       ,282.9,16.6
-3.489,-54.225,305.2,1,1,2015-11-29, 02:10,T,24,5.0       ,292.8,7.4
-3.433,-53.899,305.4,1.1,1,2015-11-29, 02:10,T,23,5.0       ,286.1,9.7
-3.429,-53.939,313.7,1.1,1,2015-11-29, 02:10,T,29,5.0       ,288.3,15.3
-3.43,-53.948,318,1.1,1,2015-11-29, 02:10,T,34,5.0       ,288.5,18.5
-3.445,-54.117,305.1,1,1,2015-11-29, 02:10,T,18,5.0       ,290.1,7.6
-3.394,-53.828,307.1,1.1,1,2015-11-29, 02:10,T,10,5.0       ,282.3,10.5
-3.395,-53.837,316.5,1.1,1,2015-11-29, 02:10,T,91,5.0       ,283.6,20.2
-3.487,-54.468,305.4,1,1,2015-11-29, 02:10,T,30,5.0       ,294.3,7.4
-3.388,-53.835,306.1,1.1,1,2015-11-29, 02:10,T,39,5.0       ,282.5,10.6
-3.389,-53.844,305.5,1.1,1,2015-11-29, 02:10,T,29,5.0       ,282.7,9.7
-3.378,-53.836,308.9,1.1,1,2015-11-29, 02:10,T,61,5.0       ,283.6,13
-3.275,-53.182,338.1,1.1,1.1,2015-11-29, 02:10,T,100,5.0       ,290.2,60.9
-3.383,-53.932,305.4,1.1,1,2015-11-29, 02:10,T,24,5.0       ,289.4,8.7
-3.388,-53.97,311,1.1,1,2015-11-29, 02:10,T,57,5.0       ,291.2,12.2
-3.266,-53.183,316.6,1.1,1.1,2015-11-29, 02:10,T,91,5.0       ,287.1,24.4
-3.097,-52.301,306.6,1.3,1.1,2015-11-29, 02:10,T,47,5.0       ,294.6,12.3
-3.087,-52.302,381.8,1.3,1.1,2015-11-29, 02:10,T,100,5.0       ,298.3,242.3
-3.089,-52.314,359.7,1.3,1.1,2015-11-29, 02:10,T,100,5.0       ,296.9,136
-3.328,-54.007,309.4,1.1,1,2015-11-29, 02:10,T,66,5.0       ,284.7,13.1
-3.378,-54.412,308.8,1,1,2015-11-29, 02:10,T,63,5.0       ,297.1,8.9
-3.379,-54.421,308.6,1,1,2015-11-29, 02:10,T,61,5.0       ,297.8,8.8
-3.369,-54.414,325.1,1,1,2015-11-29, 02:10,T,100,5.0       ,297.3,27.2
-3.37,-54.423,311,1,1,2015-11-29, 02:10,T,51,5.0       ,297.1,10.4
-3.283,-53.876,309.7,1.1,1,2015-11-29, 02:10,T,59,5.0       ,277.8,13.4
-3.285,-54.02,318.9,1.1,1,2015-11-29, 02:10,T,76,5.0       ,285.8,21.6
-3.274,-54.012,315.8,1.1,1,2015-11-29, 02:10,T,27,5.0       ,287.7,16.3
-3.246,-53.881,309.4,1.1,1,2015-11-29, 02:10,T,36,5.0       ,279.3,12.4
-3.262,-53.994,311.3,1.1,1,2015-11-29, 02:10,T,69,5.0       ,286.1,14
-3.265,-54.013,326,1.1,1,2015-11-29, 02:10,T,100,5.0       ,287.5,30.7
-3.239,-54.026,306,1.1,1,2015-11-29, 02:10,T,40,5.0       ,286.6,9.4
-3.262,-54.565,319.3,1,1,2015-11-29, 02:10,T,98,5.0       ,297.9,19
-3.263,-54.574,319.2,1,1,2015-11-29, 02:10,T,98,5.0       ,297.2,18.8
-3.253,-54.567,306.5,1,1,2015-11-29, 02:10,T,3,5.0       ,296.3,5.5
-2.953,-52.574,310.8,1.2,1.1,2015-11-29, 02:10,T,72,5.0       ,295.7,15.9
-2.955,-52.585,305.9,1.2,1.1,2015-11-29, 02:10,T,39,5.0       ,295.6,9.6
-3.266,-54.722,308.7,1,1,2015-11-29, 02:10,T,44,5.0       ,295.8,7.5
