latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp
-9.851,-44.02,309.3,1.4,1.2,2015-10-16, 01:45,T,7,5.0       ,296.5,12.6
-10.065,-45.619,312.5,1.1,1.1,2015-10-16, 01:45,T,79,5.0       ,297.5,13.3
-10.612,-49.517,318.4,1.1,1,2015-10-16, 01:45,T,96,5.0       ,295.9,23.2
-11.365,-55.638,306.8,3,1.7,2015-10-16, 01:45,T,49,5.0       ,293,43.6
-9.849,-44.602,306.4,1.3,1.1,2015-10-16, 01:45,T,45,5.0       ,295,10.8
-11.097,-53.867,305.8,2.2,1.4,2015-10-16, 01:45,T,38,5.0       ,295,26.1
-10.332,-48.609,306.6,1,1,2015-10-16, 01:45,T,47,5.0       ,292.3,9.7
-10.45,-49.461,313.8,1.1,1,2015-10-16, 01:45,T,83,5.0       ,294.5,16.9
-10.658,-51.096,305.1,1.3,1.1,2015-10-16, 01:45,T,18,5.0       ,295.1,11
-9.724,-44.594,316.6,1.3,1.1,2015-10-16, 01:45,T,91,5.0       ,298.9,22.5
-9.726,-44.605,309.3,1.3,1.1,2015-10-16, 01:45,T,56,5.0       ,298.1,12.7
-11.093,-54.833,322.2,2.6,1.5,2015-10-16, 01:45,T,100,5.0       ,294.8,99.1
-11.095,-54.858,306.3,2.6,1.5,2015-10-16, 01:45,T,43,5.0       ,294.1,32.7
-10.743,-51.95,306.2,1.5,1.2,2015-10-16, 01:45,T,43,5.0       ,295.7,14.2
-11.101,-54.838,307.2,2.6,1.5,2015-10-16, 01:45,T,52,5.0       ,294.7,36.1
-11.087,-54.839,319.1,2.6,1.5,2015-10-16, 01:45,T,97,5.0       ,294.5,83.7
-10.881,-54.531,307.2,2.4,1.5,2015-10-16, 01:45,T,52,5.0       ,295.1,33.5
-10.235,-49.693,313.4,1.1,1.1,2015-10-16, 01:45,T,82,5.0       ,295.9,17.5
-10.391,-50.847,316.3,1.3,1.1,2015-10-16, 01:45,T,85,5.0       ,296.3,22.6
-10.423,-51.084,320,1.3,1.1,2015-10-16, 01:45,T,100,5.0       ,297.5,33.2
-10.3,-50.245,372.1,1.2,1.1,2015-10-16, 01:45,T,100,5.0       ,300.4,170.5
-10.302,-50.256,336.8,1.2,1.1,2015-10-16, 01:45,T,100,5.0       ,297,57.9
-10.38,-50.837,312.7,1.3,1.1,2015-10-16, 01:45,T,42,5.0       ,296.5,17.3
-10.291,-50.247,376.5,1.2,1.1,2015-10-16, 01:45,T,100,5.0       ,300.2,190
-10.292,-50.258,328.4,1.2,1.1,2015-10-16, 01:45,T,100,5.0       ,296.8,39.9
